School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Season
South Carolina Upstate,32,16,16,0.5,-7.44,-3.81,2198,2225,68.4,100,0.321,0.35,0.538,47.4,46.3,10.8,13.3,0.515,17.1,25.4,0.21,2022
South Dakota,31,12,19,0.387,-9.87,-3.32,2149,2282,67,103.5,0.272,0.403,0.544,49.5,51,6.6,4.4,0.51,15.4,25.6,0.208,2022
South Dakota State,32,19,13,0.594,-1.82,-2.07,2270,2233,67.9,103.6,0.28,0.388,0.555,48.8,42,7.6,8.3,0.518,15.4,21.5,0.222,2022
South Florida,32,14,18,0.438,1.95,1.95,2303,2303,69.6,103.1,0.307,0.371,0.531,52.4,50.8,9.3,8.8,0.508,16.8,33,0.2,2022
Southeast Missouri State NCAA,36,19,17,0.528,-7.4,-6.81,2789,2734,73.8,103.2,0.378,0.399,0.54,49.2,51.9,9.3,8.6,0.503,15.4,26.5,0.268,2022
Southeastern Louisiana,32,18,14,0.563,-8,-6.73,2483,2432,70.4,108.1,0.317,0.346,0.556,49.4,51,10.1,5.3,0.522,14.9,28.9,0.235,2022
Southern,32,15,17,0.469,-8.57,-6.5,2300,2280,72.9,97.9,0.335,0.394,0.53,47.7,56.1,11.8,7.4,0.495,17.7,25.1,0.239,2022
Southern California NCAA,33,22,11,0.667,13.06,8,2391,2224,68.3,105.6,0.332,0.33,0.55,49.6,52,10,13.4,0.512,15.9,28.8,0.248,2022
Southern Illinois,33,23,10,0.697,1.15,-2.14,2168,2026,64.8,101,0.299,0.463,0.553,49.4,59.7,11.1,6,0.524,17.4,22.9,0.216,2022
SIU Edwardsville,33,19,14,0.576,-6.45,-7.52,2463,2353,70.7,105.5,0.4,0.375,0.54,51.1,48.8,9.8,11.4,0.497,15.6,31.4,0.292,2022
Southern Indiana,33,16,17,0.485,-8.87,-7.13,2500,2447,70.5,106.2,0.331,0.427,0.54,52.6,48.4,10.1,6.7,0.514,16,32.6,0.222,2022
Southern Methodist,32,10,22,0.313,-0.12,5.2,2248,2418,70.6,98,0.33,0.337,0.506,48.2,53.8,9.9,9,0.474,15.7,28.1,0.223,2022
Southern Mississippi,33,25,8,0.758,3.31,-1.56,2436,2182,68.9,107.1,0.321,0.369,0.546,51.8,55.4,12.1,7.5,0.514,15.3,32,0.229,2022
Southern Utah,37,24,13,0.649,3.39,1.42,3064,2764,73.7,110.1,0.376,0.388,0.569,52.5,45.6,9.6,8.7,0.534,15.4,29.4,0.273,2022
St. Bonaventure,32,14,18,0.438,-1.32,-0.41,2136,2165,66.7,99.3,0.295,0.362,0.522,48.7,49.4,10.4,10.4,0.492,16.5,27.5,0.207,2022
St. Francis (NY),30,14,16,0.467,-16.49,-11.17,1946,2034,67.1,96.3,0.308,0.339,0.499,49.1,53.6,11,11.8,0.464,17.5,31.5,0.215,2022
St. John's (NY),33,18,15,0.545,8.64,6.49,2552,2481,73.8,103.3,0.277,0.27,0.522,52.9,51.5,11,10,0.494,15.9,34,0.194,2022
St. Thomas,33,19,14,0.576,-3.1,-4.65,2447,2316,67,110.7,0.307,0.445,0.564,48.1,50.3,8.9,6.5,0.525,13.1,24.7,0.241,2022
Stanford,33,14,19,0.424,9.64,7.67,2321,2256,66.1,106.4,0.294,0.397,0.55,52.2,58.5,8.6,9.8,0.524,16.4,31.1,0.204,2022
Stephen F. Austin,32,19,13,0.594,0.73,-0.69,2427,2238,70.9,104.9,0.373,0.29,0.562,50.8,55.6,12.3,7.6,0.528,18.6,32,0.267,2022
Stetson,31,17,14,0.548,-2.83,-2.69,2381,2287,65.8,113.9,0.248,0.436,0.573,51.2,50.1,7.6,8.8,0.544,13.7,30.2,0.191,2022
Stonehill,31,14,17,0.452,-12.86,-8.59,2076,2157,67.5,98,0.321,0.415,0.552,46.1,52.8,10.3,8.1,0.514,18.1,19.9,0.243,2022
Stony Brook,33,11,22,0.333,-12.45,-4.13,2083,2279,65.1,96.7,0.287,0.452,0.522,49.1,53.6,6.7,7.6,0.486,17.1,23,0.214,2022
Syracuse,32,17,15,0.531,5.39,4.17,2372,2333,68.3,107.7,0.306,0.29,0.55,49,52.7,10.9,15.7,0.515,14.7,29.9,0.229,2022
Tarleton State,34,17,17,0.5,-0.76,1.71,2446,2308,69.1,103.4,0.448,0.255,0.54,48.8,51.6,14,9.9,0.497,15.8,28.2,0.315,2022
TCU NCAA,35,22,13,0.629,15.61,8.78,2634,2395,70.9,105.8,0.341,0.299,0.533,50.7,58.5,11.3,12.5,0.5,14.4,32.2,0.238,2022
Temple,32,16,16,0.5,4.68,5.3,2227,2247,67.1,101.8,0.346,0.436,0.539,50.4,58.5,7.3,10.3,0.497,17.4,28.6,0.262,2022
Tennessee NCAA,36,25,11,0.694,20.84,7.98,2547,2084,65.9,107,0.307,0.401,0.53,54.6,66.2,12.5,11.8,0.499,15.2,36.4,0.217,2022
Tennessee State,32,18,14,0.563,-9.01,-8.94,2499,2401,72.8,107.2,0.359,0.416,0.552,50.3,49.2,8,9,0.521,15.1,28.5,0.249,2022
Tennessee Tech,33,16,17,0.485,-9.4,-6.37,2432,2421,69.3,103.5,0.29,0.421,0.543,48.4,55.3,8.8,6.5,0.514,15.7,26,0.208,2022
Tennessee-Martin,33,19,14,0.576,-8.67,-7.91,2658,2489,73.5,108.3,0.345,0.375,0.555,51.3,47.6,10.1,9.2,0.521,14.1,28.6,0.249,2022
Texas NCAA,38,29,9,0.763,20.56,10.43,2963,2578,70.1,110.1,0.305,0.345,0.565,49.8,56.7,11.1,9.8,0.533,14.3,28.3,0.228,2022
Texas A&M NCAA,35,25,10,0.714,13.76,7.42,2549,2327,67.1,108.5,0.451,0.345,0.543,53.4,52.6,10,7.9,0.488,15.5,36.7,0.343,2022
Texas A&M-Corpus Christi NCAA,35,24,11,0.686,-2.57,-7.02,2803,2561,71.7,110.9,0.348,0.342,0.559,52.6,55.2,11.7,5.3,0.513,15.2,33.7,0.276,2022
Texas Southern NCAA,35,14,21,0.4,-10.56,-5.05,2422,2518,70.9,95.6,0.338,0.281,0.498,51.4,46.1,9.3,8.9,0.466,17.4,31,0.225,2022
Texas State,35,16,19,0.457,-2.32,-0.7,2309,2334,64.9,101.7,0.328,0.261,0.521,51.5,40.8,9.7,10.3,0.482,15.6,31.5,0.239,2022
Texas Tech,32,16,16,0.5,12.58,8.24,2347,2208,68.9,105.7,0.348,0.368,0.556,51.7,49.7,10.5,8.7,0.523,17.3,32.1,0.251,2022
Texas-Rio Grande Valley,32,15,17,0.469,-6.48,-0.55,2518,2502,74.3,105.1,0.433,0.354,0.564,52.4,58.2,6.3,8.3,0.529,18.7,30.9,0.302,2022
The Citadel,32,10,22,0.313,-12.13,-3.77,2158,2374,68.2,98.9,0.288,0.393,0.531,46.1,47.3,8.1,7.8,0.496,16.2,21.8,0.217,2022
Toledo,35,27,8,0.771,5.76,-2.57,2989,2691,70.8,120.6,0.348,0.357,0.6,50.1,49.3,9.6,7.7,0.565,11.9,30.2,0.268,2022
Towson,33,21,12,0.636,0.24,-4.79,2368,2202,65.7,108.1,0.298,0.345,0.54,54.4,53.6,9.4,10.2,0.511,15.6,35.7,0.211,2022
Troy,33,20,13,0.606,1.39,-1.25,2414,2204,69.2,105,0.325,0.41,0.538,50.3,52.1,12.5,7.4,0.507,15.9,30.8,0.228,2022
Tulane,31,20,11,0.645,5.46,2.69,2478,2392,74,106.3,0.354,0.381,0.566,45.5,56.3,11.2,11.4,0.524,13.8,19.3,0.275,2022
Tulsa,30,5,25,0.167,-8.48,3.66,1959,2323,68.7,94.2,0.267,0.424,0.502,45.2,48.7,7.9,4.1,0.479,16.9,24.8,0.173,2022
UAB,39,29,10,0.744,10.96,1.7,3149,2740,70.6,111.2,0.356,0.316,0.547,53.6,49.6,11.1,11.2,0.508,14.5,35.8,0.264,2022
UC Davis,32,18,14,0.563,-0.31,-1.74,2392,2274,70.9,104.2,0.434,0.346,0.545,53,48.1,9.9,6.9,0.503,17.7,33.7,0.308,2022
UC Irvine,35,23,12,0.657,4.16,-0.6,2617,2352,70,106.4,0.288,0.315,0.553,52.2,53.5,10,6.7,0.525,15.4,28.6,0.207,2022
UC Riverside,34,22,12,0.647,0.72,-0.34,2463,2352,67.4,105.9,0.257,0.383,0.536,53.7,49.7,7.5,4.7,0.512,15.4,32,0.179,2022
UC San Diego,30,10,20,0.333,-6.94,-0.76,2057,2189,67,99.9,0.274,0.404,0.529,47.6,48.5,8.4,5.8,0.497,15.7,23.7,0.203,2022
UC Santa Barbara NCAA,35,27,8,0.771,3.3,-2.03,2510,2305,65.5,109.1,0.343,0.296,0.575,51.3,53.6,9.7,6.7,0.545,15.4,26.7,0.25,2022
UCF,34,19,15,0.559,11.09,5.09,2432,2228,66.1,105.5,0.289,0.422,0.54,51.3,55.3,11.3,11.4,0.503,16.7,33.6,0.223,2022
UCLA NCAA,37,31,6,0.838,22.11,8.66,2743,2245,67.2,110.3,0.274,0.29,0.54,52.2,52.1,12.5,11.6,0.511,12.8,33,0.2,2022
UNC Asheville NCAA,35,27,8,0.771,-1.74,-4.35,2604,2418,69.3,105.8,0.408,0.374,0.577,50.5,49.7,9,10,0.547,18,26.3,0.284,2022
UNC Greensboro,32,20,12,0.625,1.66,-2.91,2306,2064,67.2,106.4,0.321,0.392,0.546,52.6,57,10.5,7.8,0.515,15.1,30.2,0.229,2022
UNC Wilmington,34,24,10,0.706,-1.17,-3.05,2343,2187,65.4,104.2,0.38,0.341,0.542,50.5,44.9,10.2,8.4,0.501,15.9,29,0.277,2022
UT Arlington,32,11,21,0.344,-4.98,2.12,2125,2190,67.6,97.9,0.306,0.345,0.498,51.5,56,9.4,9,0.47,17.2,34.5,0.201,2022
Utah,32,17,15,0.531,11.34,6.53,2197,2043,66.5,102.9,0.292,0.377,0.521,52.8,58.4,7.5,10.1,0.49,15.4,31.3,0.207,2022
Utah State NCAA,35,26,9,0.743,14.23,6.81,2736,2446,69.2,112.6,0.343,0.425,0.596,53,61.8,7.2,8.6,0.562,15.6,27.3,0.262,2022
Utah Tech,33,14,19,0.424,-0.16,1.01,2495,2420,70.8,105.9,0.437,0.416,0.573,51.5,52.4,9.3,6.4,0.539,18.6,29.3,0.307,2022
Utah Valley,37,28,9,0.757,8.48,1.83,2863,2538,72.2,105.8,0.355,0.331,0.557,52.4,58.1,8.8,15,0.52,16.5,29.4,0.262,2022
UTEP,32,14,18,0.438,-0.74,1.82,2192,2192,68.3,97.7,0.394,0.302,0.52,51.7,48.4,12.8,7.9,0.493,19.3,33.2,0.249,2022
UTSA,32,10,22,0.313,-7.74,1.16,2217,2450,69.5,98.9,0.361,0.385,0.518,48.9,44.6,6.1,6.6,0.475,17,29.3,0.265,2022
Valparaiso,32,11,21,0.344,-8.72,-2.75,2206,2355,68.7,98.1,0.282,0.361,0.525,49.3,53.6,8.3,7,0.493,16.2,22.9,0.205,2022
Vanderbilt,37,22,15,0.595,8.98,8.55,2661,2645,67,106.6,0.316,0.422,0.529,49.5,46.1,7.5,11.8,0.496,13.7,30.8,0.225,2022
Vermont NCAA,34,23,11,0.676,1.63,-3.13,2471,2276,65.5,109.7,0.285,0.429,0.573,49.1,51.6,8.9,8.3,0.551,12.8,20.3,0.198,2022
Villanova,34,17,17,0.5,10.61,8.69,2366,2301,65,106.7,0.3,0.478,0.559,49,46.7,8.7,5.3,0.515,13.9,22.6,0.246,2022
Virginia NCAA,33,25,8,0.758,13.28,5.98,2237,1996,62.5,108.1,0.347,0.356,0.544,50.2,65.4,10.9,13.8,0.512,12.1,25.6,0.244,2022
Virginia Commonwealth NCAA,35,27,8,0.771,9.89,1.95,2480,2202,68.3,103.8,0.416,0.327,0.555,50.1,52.8,13,12.8,0.52,17.3,28.9,0.289,2022
VMI,32,7,25,0.219,-16.14,-3.45,2220,2457,67.5,101.9,0.211,0.458,0.525,51.1,45.6,7.9,3.9,0.496,16.3,30.4,0.162,2022
Virginia Tech,34,19,15,0.559,9.36,5.3,2521,2383,66.8,110.5,0.259,0.396,0.566,49.6,56.7,7.8,8.3,0.54,13.1,25.9,0.191,2022
Wagner,28,15,13,0.536,-11.81,-10.85,1766,1727,63.5,98.5,0.248,0.358,0.486,53.7,51.8,10.5,5.8,0.458,15.6,35.2,0.169,2022
Wake Forest,33,19,14,0.576,8.25,5.43,2528,2435,70.1,108.5,0.321,0.454,0.574,49.7,50.6,8.5,7.4,0.542,15.4,24.8,0.239,2022
Washington,32,16,16,0.5,6.78,7.94,2213,2250,69.2,98.4,0.317,0.366,0.528,47.1,46.8,9.8,13.1,0.488,17.6,26.4,0.237,2022
Washington State,34,17,17,0.5,10.53,7.91,2324,2235,64.8,105.1,0.282,0.434,0.534,52.1,49.6,7.5,7.3,0.504,15.8,31.5,0.202,2022
Weber State,33,18,15,0.545,-2.94,-1.33,2219,2229,65.7,100.5,0.335,0.375,0.554,49.7,45.1,9.1,4.6,0.514,17.4,21.3,0.257,2022
West Virginia NCAA,34,19,15,0.559,15.95,10.89,2583,2411,69.6,108.8,0.394,0.363,0.557,52,50.1,9.6,8.6,0.515,16,34,0.292,2022
Western Carolina,34,18,16,0.529,-6.34,-4.08,2513,2405,68.3,106.2,0.334,0.421,0.538,51.4,49.1,7.7,6.4,0.504,13.5,27.3,0.239,2022
Western Illinois,30,16,14,0.533,-7.59,-4.73,2191,2171,68.8,105.7,0.319,0.372,0.542,49.9,51.6,8.4,9,0.513,13.7,27,0.223,2022
Western Kentucky,33,17,16,0.515,-0.81,1.09,2355,2330,68.4,103.5,0.315,0.364,0.537,48.3,49.6,9,15,0.505,14.9,26,0.224,2022
Western Michigan,31,8,23,0.258,-10.55,-2.34,2166,2295,66.7,104.8,0.265,0.416,0.529,53.4,50.4,6.9,6.4,0.501,16.2,34.3,0.189,2022
Wichita State,32,17,15,0.531,5.78,3.25,2272,2191,67.8,103.1,0.308,0.372,0.539,51.5,51.5,9.2,11.3,0.507,16,29.1,0.221,2022
William & Mary,33,13,20,0.394,-10.99,-4.18,2219,2320,65.3,102.6,0.306,0.382,0.53,49.6,50.7,9.2,5.7,0.502,16,29.2,0.208,2022
Winthrop,32,15,17,0.469,-6.63,-3.59,2360,2382,67.8,108.4,0.408,0.453,0.592,47.7,46.5,7.5,8.4,0.556,18.3,26.5,0.301,2022
Wisconsin,35,20,15,0.571,10.98,9.29,2284,2225,63.2,101.1,0.25,0.402,0.509,47.5,48.9,9.2,4.4,0.483,11.9,22.6,0.173,2022
Wofford,33,17,16,0.515,-5.02,-3.32,2466,2392,66.4,110.8,0.288,0.39,0.566,51.5,45.5,8.5,6.1,0.537,14.2,29.8,0.212,2022
Wright State,33,18,15,0.545,-2.34,-5.89,2637,2432,72,108.5,0.242,0.276,0.569,51.6,48,8.5,7.8,0.546,15.3,27.3,0.178,2022
Wyoming,31,9,22,0.29,2.02,6.12,2144,2234,66.4,103.7,0.332,0.457,0.551,49.3,46.6,7.3,7.5,0.52,16,24.1,0.236,2022
Xavier NCAA,37,27,10,0.73,16.03,9.16,2995,2741,72,112.1,0.314,0.312,0.578,53.9,63.6,8.8,7.9,0.552,15,30.7,0.223,2022
Yale,30,21,9,0.7,7.81,-1.62,2273,1897,67.5,111.3,0.3,0.351,0.564,54.2,52.2,9.3,12.6,0.54,14.3,29.7,0.208,2022
Youngstown State,34,24,10,0.706,1.67,-5.83,2785,2465,69.5,115.8,0.295,0.356,0.585,51.7,51.2,9.9,6.9,0.552,13.6,31,0.23,2022
Abilene Christian,36,25,11,0.694,2.25,-2.09,2761,2432,71.9,105.2,0.382,0.358,0.541,48.2,56.9,14.9,6.3,0.495,15.1,29.1,0.288,2021
Air Force,29,11,18,0.379,-5.67,1.33,1712,1915,63.4,93.1,0.268,0.435,0.528,44.6,57.7,8.6,9.1,0.509,19.6,19.6,0.174,2021
Akron NCAA,34,24,10,0.706,0.91,-3.93,2402,2130,64.1,109.8,0.39,0.416,0.563,53,47.9,9.1,9.2,0.533,15.4,30.6,0.268,2021
Alabama NCAA,33,19,14,0.576,14.62,11.59,2623,2523,73.2,108.1,0.329,0.476,0.547,52.3,53.1,9.6,11.9,0.513,16.7,35.3,0.239,2021
Alabama A&M,30,12,18,0.4,-14.43,-8.86,1843,2010,68.3,88.5,0.335,0.249,0.459,48.8,43.4,10.1,8.8,0.412,16.8,28.7,0.239,2021
Alabama State,31,10,21,0.323,-12.05,-5.45,2160,2332,71.4,96.7,0.378,0.33,0.52,48.3,49.7,10.5,9.6,0.481,18.7,29.7,0.264,2021
Albany (NY),31,13,18,0.419,-9.8,-5.77,1917,2042,65.8,93.6,0.25,0.323,0.492,48.4,40.9,10.2,7.5,0.462,16.4,26.1,0.176,2021
Alcorn State,34,17,17,0.5,-8.68,-4.12,2262,2417,69,95.8,0.324,0.292,0.494,51.1,43.1,10.7,7.6,0.458,17.3,31.9,0.224,2021
American,32,10,22,0.313,-15.38,-7.91,2031,2270,66.8,94.3,0.256,0.28,0.521,48.1,49.9,9.7,8.3,0.496,18,21.6,0.177,2021
Appalachian State,34,19,15,0.559,-1.45,-1.45,2281,2146,65.5,102,0.273,0.43,0.513,50.4,51.9,8.5,7.1,0.49,13.6,27.3,0.18,2021
Arizona NCAA,37,33,4,0.892,22.75,6.84,3107,2518,72.7,114.7,0.349,0.359,0.587,55,65,9.2,13.4,0.556,15.8,34.6,0.258,2021
Arizona State,31,14,17,0.452,7.64,9.48,2027,2084,67.9,94.7,0.212,0.372,0.492,47.2,53.4,9.7,12.4,0.471,15.2,24.9,0.14,2021
Arkansas NCAA,37,28,9,0.757,16.27,8.62,2810,2527,72,104.8,0.372,0.342,0.533,52,52.7,10.5,11.7,0.486,14.6,29.5,0.282,2021
Arkansas State,29,18,11,0.621,-3.27,-3.5,2055,1974,69.5,101.5,0.332,0.306,0.537,51.5,60.7,11.3,8.5,0.498,17.4,29.8,0.247,2021
Arkansas-Pine Bluff,31,7,24,0.226,-18.96,-4.58,2055,2426,69.3,95.3,0.345,0.407,0.51,43.8,50.1,10.3,6.4,0.47,16.8,24.6,0.247,2021
Army,31,15,16,0.484,-10.53,-7.53,2183,2182,69.9,99.9,0.316,0.355,0.516,51.3,48.4,11.1,5.3,0.494,16.2,30,0.199,2021
Auburn NCAA,34,28,6,0.824,19.2,8.17,2660,2285,71.3,108.1,0.316,0.398,0.534,52.5,53.1,11.5,21.1,0.499,14.2,33.6,0.231,2021
Austin Peay,29,12,17,0.414,-10.02,-3.39,1875,2004,66.1,96.6,0.266,0.443,0.508,48.6,58.6,9.6,6.1,0.478,18,29.5,0.188,2021
Ball State,31,14,17,0.452,-7.99,-4.56,2304,2380,71.6,103.4,0.374,0.412,0.549,49.6,51.8,8.4,7,0.516,17.1,27.1,0.26,2021
Baylor NCAA,34,27,7,0.794,21.73,8.76,2619,2178,68.6,111.5,0.29,0.384,0.553,53.4,56.3,12.7,9.7,0.528,15.1,36.3,0.202,2021
Bellarmine,33,20,13,0.606,-3.77,-1.28,2314,2217,63.8,109.4,0.217,0.409,0.568,48.3,54.4,8.8,5.8,0.545,13.3,23.7,0.163,2021
Belmont,33,25,8,0.758,6.49,-2.57,2583,2264,70.3,110.5,0.266,0.434,0.585,49.9,62.2,12.8,11,0.56,15,24.6,0.197,2021
Bethune-Cookman,30,9,21,0.3,-14.7,-6.7,1901,2086,67.4,93.3,0.287,0.252,0.491,48.2,45.4,11.7,7.1,0.459,17.1,28.4,0.198,2021
Binghamton,29,12,17,0.414,-10.41,-6.18,1962,1983,67.3,100,0.23,0.356,0.523,50.5,44.8,8.4,10,0.504,16.3,27.2,0.152,2021
Boise State NCAA,35,27,8,0.771,11.93,5.22,2389,2130,64.9,104.1,0.35,0.388,0.536,53.6,47,9.1,9.6,0.512,15.9,30.6,0.227,2021
Boston College,33,13,20,0.394,4.03,5.22,2209,2248,65.5,100.7,0.296,0.324,0.511,50.9,50.2,10.8,8.6,0.478,15.4,30,0.208,2021
Boston University,35,22,13,0.629,-5.07,-7.34,2470,2369,65.3,106.9,0.29,0.378,0.552,53.4,43,8.5,6.6,0.521,15.9,31.1,0.214,2021
Bowling Green State,31,13,18,0.419,-8.82,-4.44,2488,2495,74.4,107.1,0.315,0.371,0.535,50.3,44.3,9.8,9.4,0.498,14.1,30.7,0.233,2021
Bradley,31,17,14,0.548,5.79,1.19,2185,2021,68.1,103.2,0.279,0.397,0.536,54.9,52.4,9.3,13.1,0.511,17.1,32.1,0.192,2021
Brigham Young,35,24,11,0.686,10.05,5.23,2599,2392,69.1,106.7,0.265,0.377,0.549,54.8,53.4,6.9,8.6,0.524,15.7,30.8,0.19,2021
Brown,29,13,16,0.448,-3.32,-1.91,2058,2015,69.7,101.8,0.308,0.393,0.529,50.7,47.9,9.6,11.1,0.497,16.4,29.4,0.218,2021
Bryant NCAA,32,22,10,0.688,-4.8,-7.41,2497,2348,73,106.1,0.322,0.431,0.538,51.8,50.5,8.8,10.1,0.502,16.1,33.1,0.236,2021
Bucknell,32,9,23,0.281,-14.62,-6.37,2277,2541,68.3,101.8,0.283,0.376,0.561,47.1,57.6,6.6,7.9,0.528,17.5,21.4,0.217,2021
Buffalo,30,19,11,0.633,1.9,-3.21,2398,2168,72.5,110.3,0.26,0.381,0.545,55,50.6,9.8,10.8,0.52,15.3,37.2,0.184,2021
Butler,33,14,19,0.424,4.45,9.16,2107,2209,64.9,97.2,0.304,0.417,0.512,49.1,48.5,7.9,7,0.48,16.1,26.7,0.211,2021
Cal Poly,28,7,21,0.25,-10.6,-3.3,1721,1885,65.5,92.5,0.368,0.35,0.505,51.3,49.7,7.1,7,0.46,19.5,27.9,0.268,2021
Cal State Bakersfield,28,9,19,0.321,-7.57,-2.01,1816,1857,65.6,98.9,0.303,0.231,0.492,52.8,40.9,9.4,8.4,0.456,15.1,33.6,0.214,2021
Cal State Fullerton NCAA,32,21,11,0.656,-0.04,-2.28,2239,2129,67.2,104.2,0.351,0.3,0.539,51.1,45.5,10.8,5.7,0.494,15.7,29.7,0.269,2021
Cal State Northridge,30,7,23,0.233,-12.02,-1.41,1847,2137,65.7,92.5,0.293,0.302,0.481,46,40.6,10.8,7.5,0.448,16.1,27,0.2,2021
California,32,12,20,0.375,3.96,6.96,2018,2114,64.9,96.4,0.253,0.316,0.501,50.9,45.2,7.4,7.2,0.469,15.1,25.3,0.184,2021
California Baptist,34,18,16,0.529,-3.53,-3.34,2402,2284,69.3,101.6,0.366,0.43,0.539,51.8,65.1,7.4,7.1,0.509,17.5,28.7,0.246,2021
Campbell,29,16,13,0.552,-4.84,-5.76,1919,1798,63.9,102.7,0.275,0.369,0.542,49.7,56,9.6,7,0.519,14.6,22.2,0.187,2021
Canisius,32,11,21,0.344,-7.48,-2.25,2192,2288,69.6,97.6,0.299,0.397,0.494,49.3,53.5,8.6,6.6,0.461,14.6,28.5,0.207,2021
Central Arkansas,31,11,20,0.355,-13.83,-1.7,2269,2515,73,99.4,0.227,0.352,0.523,48.6,51.5,9.2,8,0.493,16.3,27.4,0.172,2021
Central Connecticut State,32,8,24,0.25,-17.43,-7.09,1977,2308,66.2,92.2,0.291,0.392,0.495,46.6,49.3,9.3,6.3,0.46,18.1,26.3,0.206,2021
Central Michigan,30,7,23,0.233,-12.56,-1.52,1978,2309,68.8,95.4,0.305,0.401,0.509,46.6,49.7,9.1,9,0.478,17.3,25.3,0.211,2021
Charleston Southern,31,6,25,0.194,-17.56,-4.21,2122,2356,71.3,95.6,0.304,0.454,0.507,50,49.8,9.1,8.1,0.478,17.8,27.6,0.206,2021
Charlotte,31,17,14,0.548,-1.62,-0.42,2171,2208,66.7,105.1,0.28,0.398,0.564,49,55.4,7.2,8,0.529,15.6,22.6,0.221,2021
Chattanooga NCAA,35,27,8,0.771,6.12,-0.94,2596,2253,66,111.6,0.266,0.389,0.56,53.7,47,10.8,6.4,0.531,14.2,32.7,0.198,2021
Chicago State,32,7,25,0.219,-14.24,-1.96,1987,2380,66.7,93,0.294,0.438,0.487,48.3,43.3,8.2,6.4,0.459,18.8,32.2,0.192,2021
Cincinnati,33,18,15,0.545,7.44,4.28,2291,2176,68.6,101.2,0.296,0.424,0.499,49.8,53.3,9.2,9.7,0.47,13.1,29.9,0.198,2021
Clemson,33,17,16,0.515,9.59,6.31,2367,2259,66.6,106.8,0.298,0.378,0.555,51.4,55.2,8.8,7.2,0.524,14.6,25.8,0.219,2021
Cleveland State,31,20,11,0.645,-1.78,-5.64,2336,2168,68.7,107.5,0.362,0.338,0.559,51.9,60.1,12.3,10.4,0.534,16.7,33.8,0.243,2021
Coastal Carolina,33,19,14,0.576,0.66,-2.41,2404,2156,67.6,106.6,0.307,0.358,0.541,53.9,51,9.8,11.2,0.513,16.4,34.2,0.214,2021
Colgate NCAA,35,23,12,0.657,0.98,-6.37,2646,2349,67.6,111.4,0.262,0.422,0.579,51.9,62,9,9.3,0.559,14.8,26.6,0.182,2021
College of Charleston,32,17,15,0.531,0.52,-1.23,2502,2446,74.3,104.5,0.304,0.376,0.536,54.7,47.2,10.6,7.2,0.503,17.6,35.9,0.222,2021
Colorado,33,21,12,0.636,9.82,6.15,2345,2224,68.4,103.2,0.347,0.336,0.545,53.6,54,8,8.7,0.504,17.2,30,0.262,2021
Colorado State NCAA,31,25,6,0.806,11.51,4.77,2275,2047,66,110.4,0.296,0.395,0.583,49.8,53.8,9.6,9.8,0.551,13.8,22.1,0.229,2021
Columbia,26,4,22,0.154,-17.5,-4.62,1752,2049,71,94.5,0.263,0.363,0.509,49,48.1,8.3,5.7,0.49,18.7,27.3,0.165,2021
Connecticut NCAA,33,23,10,0.697,16.4,6.88,2469,2155,66.8,109.9,0.305,0.345,0.534,55.1,52.6,8.7,16.6,0.496,14.4,37.7,0.23,2021
Coppin State,32,9,23,0.281,-12.78,-5.03,2142,2390,74.4,90,0.346,0.499,0.497,44,49.4,10.8,8.1,0.46,17.6,20.1,0.237,2021
Cornell,26,15,11,0.577,-3.41,-3.45,2059,1941,73.5,107.2,0.303,0.458,0.571,51.3,61.2,10.7,8.3,0.546,17,28,0.215,2021
Creighton NCAA,35,23,12,0.657,11.34,8.54,2422,2324,68.1,100.5,0.267,0.381,0.537,51.7,52,8,10.1,0.506,17.9,28.4,0.197,2021
Dartmouth,25,9,16,0.36,-4.12,-2.62,1709,1705,66.8,100.8,0.241,0.449,0.526,48.2,42.9,9.8,9.6,0.493,15,23.9,0.186,2021
Davidson NCAA,34,27,7,0.794,10.43,1.92,2567,2244,66.1,113.8,0.316,0.412,0.591,52.3,54.8,7,8.2,0.561,13.3,23.8,0.238,2021
Dayton,35,24,11,0.686,10.41,2.41,2423,2143,64.4,107.1,0.305,0.337,0.562,54.5,55.9,8.6,11.1,0.539,16.7,30.1,0.208,2021
Delaware NCAA,35,22,13,0.629,0.32,-1.82,2568,2456,68,107.2,0.339,0.388,0.57,49.2,48.4,9.7,9.8,0.536,16.3,26.9,0.252,2021
Delaware State,28,2,26,0.071,-22.63,-7.39,1757,2058,71,88,0.306,0.332,0.49,47.6,42.8,10.2,12.3,0.458,21.4,27.4,0.205,2021
Denver,32,11,21,0.344,-10.12,-5.96,2257,2380,68.5,101.7,0.318,0.356,0.553,48.4,48.3,7.5,9.5,0.526,16.9,23.2,0.222,2021
DePaul,31,15,16,0.484,7.83,6.73,2272,2238,70.4,103.7,0.334,0.342,0.521,51.6,43.4,8.8,12.5,0.488,14.8,31.7,0.232,2021
Detroit Mercy,30,14,16,0.467,-6.33,-5.02,2122,2115,65.8,107.5,0.229,0.488,0.558,48.7,48.1,8.9,6,0.53,15.5,27.9,0.178,2021
